01.12.2015;66,64
02.12.2015;67,4
03.12.2015;67,5825
04.12.2015;68,07
07.12.2015;69,37
08.12.2015;69,3
09.12.2015;69,32
10.12.2015;66,1715
11.12.2015;70,21
14.12.2015;70,54
15.12.2015;70,4885
16.12.2015;70
17.12.2015;70,915
18.12.2015;70,925
21.12.2015;70,84
22.12.2015;71,3
23.12.2015;69,515
24.12.2015;70,245
25.12.2015;70,22471
28.12.2015;72,185
29.12.2015;72,1975
30.12.2015;73,23
31.12.2015;73,4
01.01.2016;73,15288
04.01.2016;73,1225
05.01.2016;74,46
06.01.2016;74,595
07.01.2016;74,795
08.01.2016;74,79431
11.01.2016;76,002
12.01.2016;76,525
13.01.2016;76,213
14.01.2016;76,293
15.01.2016;77,707
18.01.2016;79,36
19.01.2016;78,6125
20.01.2016;81,82
21.01.2016;82,9
22.01.2016;78,37
23.01.2016;78,18608
25.01.2016;79,84
26.01.2016;78,23
27.01.2016;77,849
28.01.2016;76,55
29.01.2016;75,44
01.02.2016;77,26
02.02.2016;79,715
03.02.2016;76,93
04.02.2016;76,77
05.02.2016;77,25
06.02.2016;77,51937
08.02.2016;78,94
09.02.2016;79,59
10.02.2016;78,37
11.02.2016;79,7675
12.02.2016;78,31
15.02.2016;77,5
16.02.2016;77,81
17.02.2016;74,86
18.02.2016;76,35
19.02.2016;77,37
20.02.2016;77,0416
22.02.2016;75,27
23.02.2016;76,1
24.02.2016;75,735
25.02.2016;75,18
26.02.2016;76,34
29.02.2016;74,405
01.03.2016;73,28
02.03.2016;73,35
03.03.2016;73,09
04.03.2016;71,87
07.03.2016;71,47962
08.03.2016;73,04601
09.03.2016;70,982
10.03.2016;71,148
11.03.2016;69,905
14.03.2016;70,26
15.03.2016;71,09
16.03.2016;69,835
17.03.2016;68,12
18.03.2016;68,33
19.03.2016;68,49315
21.03.2016;67,86
22.03.2016;67,25
23.03.2016;68,715
24.03.2016;68,58
25.03.2016;68,24
28.03.2016;68,41
29.03.2016;68,065
30.03.2016;67,68
31.03.2016;67
